aX,aY,aZ,gX,gY,gZ
1.010,-0.090,-0.180,1.831,0.427,0.061

0.996,-0.358,-0.334,-162.048,-1.404,22.461
1.017,-0.350,-0.334,-182.800,-3.723,30.212
1.001,-0.145,-0.311,-191.162,-4.456,31.250
0.980,-0.076,-0.302,-195.251,-4.822,25.574
0.943,-0.197,-0.302,-194.946,-4.578,23.193
0.959,-0.263,-0.297,-203.247,-2.747,26.611
1.005,-0.136,-0.284,-209.778,-1.221,28.809
0.998,-0.034,-0.281,-212.769,0.793,23.743
0.959,-0.019,-0.266,-209.106,0.916,18.982
0.962,-0.070,-0.250,-202.209,2.197,15.747
1.000,-0.064,-0.229,-200.317,3.845,16.968
1.000,-0.033,-0.224,-197.876,5.310,17.761
1.008,-0.005,-0.214,-188.354,4.883,15.747
1.033,0.070,-0.178,-181.335,3.174,13.855
1.023,0.114,-0.163,-162.231,2.930,9.216
1.008,0.136,-0.148,-149.963,4.211,7.263
1.019,0.117,-0.142,-123.596,4.639,6.348
1.027,0.101,-0.121,-111.145,4.333,7.019
1.020,0.107,-0.112,-86.365,5.554,8.667
1.022,0.108,-0.097,-73.608,6.287,9.216
1.018,0.096,-0.097,-49.500,7.202,9.338
1.030,0.065,-0.107,-39.063,7.935,9.216
1.039,0.052,-0.109,-29.480,8.423,9.277
1.036,0.039,-0.109,-12.695,8.179,9.888
1.020,-0.015,-0.119,-5.737,8.118,9.888
1.024,-0.068,-0.129,3.174,7.263,9.888
1.047,-0.134,-0.134,4.089,6.287,10.559
1.048,-0.118,-0.128,1.953,5.554,10.376
1.044,-0.061,-0.113,1.465,5.615,8.179
1.033,-0.065,-0.111,2.686,4.639,1.587
1.010,-0.099,-0.109,2.991,4.333,-0.488
1.011,-0.102,-0.110,2.869,5.127,-0.366
1.020,-0.101,-0.114,2.930,5.188,0.183
1.016,-0.103,-0.111,3.418,4.700,-0.305
1.017,-0.107,-0.108,3.906,4.944,-0.488
1.024,-0.104,-0.110,4.639,5.371,-0.061
1.030,-0.113,-0.117,6.470,5.188,1.038
1.033,-0.125,-0.118,6.836,4.395,0.793
1.033,-0.134,-0.119,5.737,2.930,-0.366
1.022,-0.135,-0.117,4.822,2.686,-0.244
1.016,-0.127,-0.116,3.784,3.479,0.366
1.017,-0.134,-0.126,3.662,3.967,0.244
1.028,-0.149,-0.132,2.625,3.174,0.610
1.033,-0.152,-0.128,1.526,2.319,1.221
1.025,-0.133,-0.123,-0.305,2.136,1.831
1.012,-0.105,-0.121,-0.183,2.563,1.526
1.013,-0.109,-0.125,0.854,3.357,0.671
1.022,-0.113,-0.132,1.160,3.296,0.732
1.025,-0.099,-0.133,1.343,3.174,1.038
1.026,-0.075,-0.135,2.808,3.174,0.427
1.026,-0.086,-0.140,4.272,3.052,-0.549
1.027,-0.115,-0.146,5.920,1.892,-1.831
1.037,-0.159,-0.148,5.310,1.038,-1.221
1.036,-0.147,-0.142,2.930,-0.122,0.916
1.025,-0.097,-0.131,2.747,-0.183,1.099
1.021,-0.090,-0.131,4.761,-0.366,-0.244
1.020,-0.123,-0.137,5.615,-0.610,-0.793
1.026,-0.135,-0.138,5.005,-1.404,0.244
1.032,-0.109,-0.130,4.272,-1.709,0.854
1.028,-0.091,-0.127,4.639,-1.770,0.061
1.016,-0.100,-0.129,5.371,-1.831,-1.160
1.012,-0.130,-0.131,5.005,-2.258,-2.991
1.020,-0.161,-0.125,3.479,-2.502,-2.563
1.021,-0.146,-0.120,0.244,-2.075,-0.793
1.015,-0.094,-0.113,-0.183,-1.465,-0.671
1.010,-0.083,-0.112,1.648,-0.183,-2.563
1.008,-0.112,-0.118,2.625,0.427,-3.601
1.013,-0.122,-0.120,2.991,0.977,-3.967
1.017,-0.119,-0.121,2.869,1.953,-3.479
1.021,-0.098,-0.121,3.235,2.258,-3.540
1.017,-0.097,-0.124,5.066,2.441,-4.333
1.019,-0.136,-0.137,5.737,2.258,-4.517
1.025,-0.153,-0.140,4.944,1.282,-2.869
1.026,-0.139,-0.136,4.028,0.854,-1.831
1.024,-0.122,-0.133,3.174,0.732,-1.526
1.015,-0.124,-0.134,3.479,0.732,-2.136
1.015,-0.141,-0.135,3.235,0.671,-2.319
1.017,-0.140,-0.133,2.380,0.732,-1.648
1.015,-0.123,-0.130,1.526,1.282,-1.099
1.014,-0.110,-0.129,1.953,1.648,-1.526
1.015,-0.130,-0.135,2.441,1.648,-1.953
1.021,-0.158,-0.139,1.709,1.160,-1.160
1.025,-0.148,-0.137,0.610,0.793,-0.244
1.027,-0.109,-0.133,-0.793,1.038,0.000
1.024,-0.100,-0.130,-0.427,1.160,-0.671
1.019,-0.104,-0.130,1.221,1.282,-2.258
1.022,-0.124,-0.133,1.709,1.404,-2.563
1.023,-0.124,-0.131,1.892,1.343,-2.502
1.015,-0.110,-0.129,2.197,1.465,-2.686
1.011,-0.107,-0.129,3.357,2.014,-3.418
1.011,-0.133,-0.136,3.906,2.136,-3.479
1.016,-0.148,-0.140,3.601,1.648,-2.197
1.023,-0.141,-0.138,2.930,1.282,-1.282
1.020,-0.126,-0.137,2.380,1.404,-0.671
1.016,-0.117,-0.138,2.930,1.465,-1.038
1.016,-0.131,-0.141,3.723,1.404,-1.709
1.022,-0.145,-0.142,3.357,1.282,-1.343
1.021,-0.135,-0.141,2.808,1.221,-0.610
1.023,-0.112,-0.138,2.930,1.343,-0.122
1.027,-0.114,-0.142,3.662,1.282,-0.549
1.031,-0.125,-0.148,5.066,-0.061,-0.916
1.035,-0.136,-0.153,5.371,-1.038,-0.183
