aX,aY,aZ,gX,gY,gZ
1.013,-0.029,-0.192,-2.258,-0.305,-0.366
1.012,-0.045,-0.191,-2.380,0.000,0.000
1.019,-0.041,-0.191,-2.991,0.000,0.793
1.023,-0.020,-0.192,-2.991,-0.427,0.793

1.024,0.294,-0.308,103.638,-15.686,-29.785
1.035,0.339,-0.321,138.672,-19.775,-35.583
1.035,0.308,-0.355,157.349,-22.522,-39.246
1.023,0.232,-0.370,190.735,-28.076,-40.527
0.980,0.078,-0.386,202.942,-29.541,-38.452
0.965,0.029,-0.393,217.957,-29.663,-34.912
0.953,0.009,-0.406,222.290,-29.297,-34.729
0.947,0.000,-0.407,228.088,-27.710,-36.560
0.946,-0.093,-0.392,229.187,-26.550,-37.109
0.936,-0.144,-0.382,228.149,-25.757,-35.767
0.916,-0.132,-0.364,219.238,-23.071,-30.029
0.939,-0.097,-0.354,213.684,-20.874,-29.236
0.963,-0.104,-0.345,205.627,-18.372,-31.860
0.946,-0.202,-0.326,200.256,-16.907,-31.555
0.928,-0.210,-0.315,183.105,-12.146,-27.649
0.948,-0.139,-0.294,174.377,-9.827,-27.588
0.956,-0.129,-0.289,161.133,-3.906,-33.203
0.966,-0.197,-0.283,154.480,-0.793,-34.302
0.963,-0.240,-0.281,136.963,2.380,-27.527
0.965,-0.294,-0.279,126.099,4.150,-23.926
0.975,-0.316,-0.278,101.990,9.216,-19.287
0.971,-0.357,-0.275,88.745,11.780,-16.846
0.965,-0.357,-0.274,60.608,16.357,-10.986
0.986,-0.293,-0.276,47.180,17.761,-8.972
1.004,-0.251,-0.284,25.879,14.893,-8.240
0.997,-0.178,-0.296,18.066,13.611,-8.240
1.005,-0.146,-0.296,11.902,13.977,-8.362
1.026,-0.089,-0.292,4.272,13.550,-9.277
1.030,-0.070,-0.288,2.441,12.085,-8.789
1.023,-0.064,-0.280,1.770,8.667,-6.592
0.983,-0.086,-0.267,2.136,7.874,-5.493
0.971,-0.095,-0.268,1.526,9.338,-1.953
0.990,-0.060,-0.285,0.793,10.193,-0.061
1.004,-0.043,-0.292,0.977,9.644,1.282
1.005,-0.059,-0.297,1.404,8.606,0.977
0.999,-0.070,-0.297,0.488,7.080,1.343
0.994,-0.049,-0.303,-0.488,6.714,1.831
1.008,-0.035,-0.307,-1.099,6.348,1.892
1.016,-0.044,-0.306,-0.732,4.639,1.038
1.009,-0.049,-0.303,-0.610,3.601,1.099
1.005,-0.042,-0.302,-1.038,2.625,2.014
1.018,-0.025,-0.304,-1.038,2.197,1.831
1.019,-0.032,-0.303,-0.610,0.488,1.160
0.990,-0.058,-0.300,-0.977,0.183,1.526
0.984,-0.050,-0.303,-2.991,1.038,2.930
1.002,0.009,-0.305,-3.418,1.038,2.747
1.012,0.018,-0.301,-1.221,-0.488,0.061
0.997,-0.030,-0.291,-0.061,-1.343,-1.099
0.986,-0.055,-0.286,-0.610,-1.282,-0.427
0.991,-0.052,-0.284,-1.892,-0.977,0.122
0.996,-0.041,-0.284,-3.357,-1.221,-0.244
0.992,-0.048,-0.281,-3.296,-1.587,-0.366
0.986,-0.057,-0.277,-3.418,-1.770,0.000
0.983,-0.040,-0.274,-4.639,-1.160,1.221
0.992,-0.023,-0.275,-5.005,-0.854,1.465
1.000,-0.014,-0.277,-4.089,-1.160,0.732
0.997,-0.031,-0.274,-3.418,-1.404,0.305
0.993,-0.043,-0.272,-3.113,-1.465,1.038
0.994,-0.027,-0.270,-3.418,-1.404,1.465
0.999,-0.010,-0.269,-2.930,-1.343,0.977
0.999,-0.014,-0.266,-1.953,-1.404,0.183
0.993,-0.031,-0.265,-1.038,-1.038,-0.488
0.995,-0.042,-0.268,-1.404,-0.671,-0.244
1.004,-0.032,-0.270,-2.014,-0.488,-0.183
1.009,-0.027,-0.269,-1.648,-0.854,-0.488
1.004,-0.039,-0.266,-1.404,-1.221,-0.671
0.996,-0.060,-0.263,-2.136,-1.160,-0.366
1.000,-0.050,-0.265,-3.784,-1.587,0.671
1.002,-0.024,-0.266,-3.906,-2.075,0.610
0.994,-0.029,-0.262,-3.296,-2.258,-0.549
0.981,-0.048,-0.258,-3.540,-1.770,-0.671
0.983,-0.039,-0.259,-4.395,-0.671,-0.183
1.004,-0.017,-0.260,-4.028,-0.732,-0.427
1.004,-0.023,-0.260,-3.113,-1.099,-0.732
0.980,-0.054,-0.257,-1.770,-1.160,-0.244
0.973,-0.057,-0.257,-2.136,-0.366,0.671
0.979,-0.049,-0.259,-3.845,1.404,1.404
0.998,-0.044,-0.265,-4.578,1.648,0.854
0.998,-0.054,-0.264,-5.981,1.404,0.244
0.983,-0.054,-0.265,-6.897,1.526,0.854
0.987,-0.031,-0.268,-7.812,2.380,1.770
1.008,-0.005,-0.275,-7.019,2.319,1.221
1.011,-0.017,-0.276,-4.700,1.221,0.000
0.994,-0.046,-0.273,-4.211,0.916,0.183
0.992,-0.038,-0.275,-4.272,0.854,1.343
1.013,-0.011,-0.279,-3.967,0.488,1.099
1.011,-0.016,-0.277,-2.319,-1.160,-0.305
0.988,-0.045,-0.271,-1.831,-1.282,-0.244
0.984,-0.048,-0.271,-1.831,-0.854,0.366
0.999,-0.036,-0.270,-2.136,-0.244,1.526
0.999,-0.038,-0.269,-2.014,-0.610,1.648
0.993,-0.048,-0.267,-2.319,-0.793,1.831
0.987,-0.047,-0.265,-2.869,-0.488,2.136
0.993,-0.032,-0.267,-3.662,0.061,1.892
1.011,-0.015,-0.270,-3.296,-0.061,1.221
1.010,-0.026,-0.269,-2.258,-0.916,0.488
0.990,-0.041,-0.264,-2.380,-0.916,0.793
0.985,-0.032,-0.264,-3.113,-0.061,1.282
0.991,-0.008,-0.266,-2.930,0.305,0.916
0.995,-0.012,-0.268,-1.831,0.549,-0.488
0.999,-0.043,-0.268,-1.587,0.427,-0.610
0.995,-0.048,-0.267,-2.319,0.488,0.305
1.001,-0.023,-0.272,-2.625,0.671,0.610
1.012,-0.014,-0.274,-2.380,0.549,0.488
1.002,-0.031,-0.271,-1.160,-0.671,-0.549
0.993,-0.046,-0.268,-0.977,-0.977,-0.671
0.986,-0.046,-0.265,-2.075,-0.305,0.183
0.991,-0.035,-0.265,-2.686,0.061,0.549
